;date;India;Japan;Hungary;Germany;US
0;2020-01-22;0;2;0;0;1
1;2020-01-23;0;2;0;0;1
2;2020-01-24;0;2;0;0;2
3;2020-01-25;0;2;0;0;2
4;2020-01-26;0;4;0;0;5
5;2020-01-27;0;4;0;1;5
6;2020-01-28;0;7;0;4;5
7;2020-01-29;0;7;0;4;6
8;2020-01-30;1;11;0;4;6
9;2020-01-31;1;15;0;5;8
10;2020-02-01;1;20;0;8;8
11;2020-02-02;2;20;0;10;8
12;2020-02-03;3;20;0;12;11
13;2020-02-04;3;22;0;12;11
14;2020-02-05;3;23;0;12;11
15;2020-02-06;3;23;0;12;12
16;2020-02-07;3;23;0;13;12
17;2020-02-08;3;24;0;13;12
18;2020-02-09;3;24;0;14;12
19;2020-02-10;3;26;0;14;12
20;2020-02-11;3;27;0;16;13
21;2020-02-12;3;28;0;16;13
22;2020-02-13;3;33;0;16;14
23;2020-02-14;3;43;0;16;14
24;2020-02-15;3;54;0;16;14
25;2020-02-16;3;60;0;16;14
26;2020-02-17;3;67;0;16;14
27;2020-02-18;3;79;0;16;14
28;2020-02-19;3;85;0;16;14
29;2020-02-20;3;95;0;16;14
30;2020-02-21;3;112;0;16;16
31;2020-02-22;3;137;0;16;16
32;2020-02-23;3;149;0;16;16
33;2020-02-24;3;160;0;16;16
34;2020-02-25;3;173;0;16;16
35;2020-02-26;3;192;0;21;16
36;2020-02-27;3;218;0;26;17
37;2020-02-28;3;236;0;53;17
38;2020-02-29;3;245;0;66;25
39;2020-03-01;3;259;0;117;32
40;2020-03-02;5;278;0;150;55
41;2020-03-03;5;298;0;188;74
42;2020-03-04;28;333;2;240;107
43;2020-03-05;30;365;2;349;184
44;2020-03-06;31;420;2;534;237
45;2020-03-07;34;466;4;684;403
46;2020-03-08;39;499;7;847;519
47;2020-03-09;43;527;9;1112;594
48;2020-03-10;56;585;9;1296;782
49;2020-03-11;62;640;13;1567;1147
50;2020-03-12;73;696;13;2369;1586
51;2020-03-13;82;733;19;3062;2219
52;2020-03-14;102;795;30;3795;2978
53;2020-03-15;113;826;32;4838;3212
54;2020-03-16;119;843;39;6012;4679
55;2020-03-17;142;893;50;7156;6512
56;2020-03-18;156;928;58;8198;9169
57;2020-03-19;194;968;73;10999;13663
58;2020-03-20;244;1022;85;13957;20030
59;2020-03-21;330;1059;103;16662;26025
60;2020-03-22;396;1104;131;18610;34944
61;2020-03-23;499;1144;167;22672;46096
62;2020-03-24;536;1217;187;27436;56714
63;2020-03-25;657;1314;226;31554;68841
64;2020-03-26;727;1416;261;36508;86662
65;2020-03-27;887;1530;300;42288;105253
66;2020-03-28;987;1728;343;48582;127417
67;2020-03-29;1024;1907;408;52547;143544
68;2020-03-30;1251;2001;447;57298;165698
69;2020-03-31;1397;2255;492;61913;192079
70;2020-04-01;1998;2535;525;67366;223254
71;2020-04-02;2543;2818;585;73522;255530
72;2020-04-03;2567;3154;623;79696;287931
73;2020-04-04;3082;3525;678;85778;319776
74;2020-04-05;3588;3876;733;91714;349016
75;2020-04-06;4778;4110;744;95391;380798
76;2020-04-07;5311;4485;817;99225;410834
77;2020-04-08;5916;5020;895;103228;441897
78;2020-04-09;6725;5614;980;108202;477507
79;2020-04-10;7598;6250;1190;113525;511790
80;2020-04-11;8446;6951;1310;117658;540714
81;2020-04-12;9205;7473;1410;120479;567022
82;2020-04-13;10453;7773;1458;123016;594165
83;2020-04-14;11487;8277;1512;125098;622493
84;2020-04-15;12322;8835;1579;127584;648390
85;2020-04-16;13430;9398;1652;130450;678028
86;2020-04-17;14352;9958;1763;133830;711135
87;2020-04-18;15722;10548;1834;137439;738464
88;2020-04-19;17615;10914;1916;139897;763886
89;2020-04-20;18539;11258;1984;141672;793970
90;2020-04-21;20080;11641;2098;143457;820045
91;2020-04-22;21370;12037;2168;145694;849926
92;2020-04-23;23077;12469;2284;148046;881891
93;2020-04-24;24530;12854;2443;150383;913856
94;2020-04-25;26283;13186;2443;152438;944770
95;2020-04-26;27890;13405;2500;154175;970741
96;2020-04-27;29451;13576;2583;155193;995391
97;2020-04-28;31324;13860;2649;156337;1019964
98;2020-04-29;33062;14076;2727;157641;1046816
99;2020-04-30;34863;14284;2775;159119;1076518
100;2020-05-01;37257;14558;2863;160758;1111410
101;2020-05-02;39699;14861;2942;161703;1138174
102;2020-05-03;42505;15061;2998;162496;1161907
103;2020-05-04;46437;15229;3035;163175;1185709
104;2020-05-05;49400;15354;3065;163860;1209728
105;2020-05-06;52987;15455;3111;164807;1234210
106;2020-05-07;56351;15553;3150;166091;1261949
107;2020-05-08;59695;15640;3178;167300;1289132
108;2020-05-09;62808;15755;3213;168551;1313586
109;2020-05-10;67161;15824;3263;169218;1332333
110;2020-05-11;70768;15861;3284;169575;1351410
111;2020-05-12;74292;15948;3313;170508;1374792
112;2020-05-13;78055;15998;3341;171306;1394807
113;2020-05-14;81997;16096;3380;172239;1420697
114;2020-05-15;85784;16148;3417;173152;1445548
115;2020-05-16;90648;16202;3473;173772;1469598
116;2020-05-17;95698;16226;3509;174355;1488327
117;2020-05-18;100328;16259;3535;174697;1510635
118;2020-05-19;106475;16287;3556;175210;1531138
119;2020-05-20;112028;16321;3598;176007;1553964
120;2020-05-21;118226;16362;3641;176752;1579116
121;2020-05-22;124794;16385;3678;177212;1602945
122;2020-05-23;131423;16410;3713;177850;1623134
123;2020-05-24;138536;16451;3741;178281;1643308
124;2020-05-25;144950;16472;3756;178570;1662402
125;2020-05-26;150793;16502;3771;179002;1681128
126;2020-05-27;158086;16528;3793;179364;1699891
127;2020-05-28;165386;16588;3816;179717;1721158
128;2020-05-29;173491;16661;3841;180458;1746240
129;2020-05-30;181827;16706;3867;181196;1769320
130;2020-05-31;190609;16741;3876;181482;1788239
131;2020-06-01;198370;16778;3892;181815;1806079
132;2020-06-02;207191;16829;3921;182028;1826169
133;2020-06-03;216824;16858;3931;182370;1845325
134;2020-06-04;226713;16902;3954;182764;1873259
135;2020-06-05;236184;16949;3970;183271;1899699
136;2020-06-06;246622;16995;3990;183678;1919968
137;2020-06-07;257486;17033;4008;183979;1937794
138;2020-06-08;265928;17054;4014;184193;1954694
139;2020-06-09;276146;17099;4017;184543;1975015
140;2020-06-10;286605;17135;4027;184861;1996733
141;2020-06-11;297535;17179;4039;185416;2019011
142;2020-06-12;308993;17240;4053;185674;2044569
143;2020-06-13;320922;17285;4064;186022;2068726
144;2020-06-14;332424;17360;4069;186269;2087627
145;2020-06-15;343091;17432;4076;186461;2108626
146;2020-06-16;354065;17474;4077;186839;2133175
147;2020-06-17;366946;17520;4078;187184;2160225
148;2020-06-18;380532;17589;4079;187764;2188452
149;2020-06-19;395048;17650;4081;188534;2219506
150;2020-06-20;410451;17714;4086;189135;2251332
151;2020-06-21;425282;17769;4094;189822;2277168
152;2020-06-22;440215;17812;4102;190359;2306969
153;2020-06-23;456183;17869;4107;190862;2345698
154;2020-06-24;473105;17965;4114;191449;2381949
155;2020-06-25;490401;18047;4123;192079;2421248
156;2020-06-26;508953;18152;4127;192556;2470294
